query,method,ratio,rougeL,bleu,bertscore_f1,raw_context_chars,pruned_context_chars,pruner_latency_ms
متى تأسست جامعة الملك سعود وأين تقع؟,lspm,0.3,1.0,100.00000000000004,0.9999999403953552,608,201,59.25783300335752
متى تأسست جامعة الملك سعود وأين تقع؟,naive,0.3,1.0,100.00000000000004,0.9999999403953552,608,201,
متى تأسست جامعة الملك سعود وأين تقع؟,lspm,0.5,1.0,100.00000000000004,0.9999999403953552,608,301,
متى تأسست جامعة الملك سعود وأين تقع؟,naive,0.5,1.0,100.00000000000004,0.9999999403953552,608,293,
متى تأسست جامعة الملك سعود وأين تقع؟,lspm,0.7,1.0,100.00000000000004,0.9999999403953552,608,394,61.50558399531292
متى تأسست جامعة الملك سعود وأين تقع؟,naive,0.7,1.0,100.00000000000004,0.9999999403953552,608,409,
على ماذا يركز قسم علوم الحاسب في الجامعة؟,lspm,0.3,1.0,100.00000000000004,1.0,617,219,65.82541600073455
على ماذا يركز قسم علوم الحاسب في الجامعة؟,naive,0.3,1.0,100.00000000000004,1.0,617,219,
على ماذا يركز قسم علوم الحاسب في الجامعة؟,lspm,0.5,1.0,100.00000000000004,1.0,617,313,
على ماذا يركز قسم علوم الحاسب في الجامعة؟,naive,0.5,1.0,100.00000000000004,1.0,617,312,
على ماذا يركز قسم علوم الحاسب في الجامعة؟,lspm,0.7,1.0,100.00000000000004,1.0,617,406,59.61620799644152
على ماذا يركز قسم علوم الحاسب في الجامعة؟,naive,0.7,1.0,100.00000000000004,1.0,617,409,
كم عدد الطلاب المسجلين في الجامعة؟,lspm,0.3,1.0,100.00000000000004,0.9999998807907104,588,189,51.73895799816819
كم عدد الطلاب المسجلين في الجامعة؟,naive,0.3,1.0,100.00000000000004,0.9999998807907104,588,204,
كم عدد الطلاب المسجلين في الجامعة؟,lspm,0.5,1.0,100.00000000000004,0.9999998807907104,588,288,
كم عدد الطلاب المسجلين في الجامعة؟,naive,0.5,1.0,100.00000000000004,0.9999998807907104,588,298,
كم عدد الطلاب المسجلين في الجامعة؟,lspm,0.7,1.0,100.00000000000004,0.9999998807907104,588,382,53.31612499867333
كم عدد الطلاب المسجلين في الجامعة؟,naive,0.7,1.0,100.00000000000004,0.9999998807907104,588,390,
ماذا يوجد في مكتبة الجامعة؟,lspm,0.3,1.0,100.00000000000004,0.9999998807907104,588,186,51.64262499602046
ماذا يوجد في مكتبة الجامعة؟,naive,0.3,1.0,100.00000000000004,0.9999998807907104,588,200,
ماذا يوجد في مكتبة الجامعة؟,lspm,0.5,1.0,100.00000000000004,0.9999998807907104,588,285,
ماذا يوجد في مكتبة الجامعة؟,naive,0.5,1.0,100.00000000000004,0.9999998807907104,588,294,
ماذا يوجد في مكتبة الجامعة؟,lspm,0.7,1.0,100.00000000000004,0.9999998807907104,588,393,51.456834000418894
ماذا يوجد في مكتبة الجامعة؟,naive,0.7,1.0,100.00000000000004,0.9999998807907104,588,386,
ما هو المركز الذي أطلقته الجامعة مؤخراً؟,lspm,0.3,1.0,100.00000000000004,0.9999998211860657,609,193,64.32549999590265
ما هو المركز الذي أطلقته الجامعة مؤخراً؟,naive,0.3,1.0,100.00000000000004,0.9999998211860657,609,193,
ما هو المركز الذي أطلقته الجامعة مؤخراً؟,lspm,0.5,0.888888888888889,57.89300674674101,0.9683219790458679,609,299,
ما هو المركز الذي أطلقته الجامعة مؤخراً؟,naive,0.5,1.0,100.00000000000004,0.9999998211860657,609,290,
ما هو المركز الذي أطلقته الجامعة مؤخراً؟,lspm,0.7,0.888888888888889,57.89300674674101,0.9683219790458679,609,398,57.89812500006519
ما هو المركز الذي أطلقته الجامعة مؤخراً؟,naive,0.7,1.0,100.00000000000004,0.9999998211860657,609,389,
كم عدد أعضاء هيئة التدريس في قسم علوم الحاسب؟,lspm,0.3,1.0,100.00000000000004,1.0000001192092896,616,200,60.331959000905044
كم عدد أعضاء هيئة التدريس في قسم علوم الحاسب؟,naive,0.3,0.41666666666666663,37.951049074930744,0.9139823317527771,616,219,
كم عدد أعضاء هيئة التدريس في قسم علوم الحاسب؟,lspm,0.5,1.0,100.00000000000004,1.0000001192092896,616,316,
كم عدد أعضاء هيئة التدريس في قسم علوم الحاسب؟,naive,0.5,1.0,100.00000000000004,1.0000001192092896,616,316,
كم عدد أعضاء هيئة التدريس في قسم علوم الحاسب؟,lspm,0.7,1.0,100.00000000000004,1.0000001192092896,616,410,62.92983300227206
كم عدد أعضاء هيئة التدريس في قسم علوم الحاسب؟,naive,0.7,1.0,100.00000000000004,1.0000001192092896,616,424,
مع من تتعاون الجامعة في الأبحاث؟,lspm,0.3,0.5833333333333334,21.55812512424143,0.8784546256065369,602,204,56.057833004160784
مع من تتعاون الجامعة في الأبحاث؟,naive,0.3,0.5714285714285715,23.246837589676872,0.8841090798377991,602,195,
مع من تتعاون الجامعة في الأبحاث؟,lspm,0.5,0.8275862068965518,67.74546186626391,0.9389119744300842,602,312,
مع من تتعاون الجامعة في الأبحاث؟,naive,0.5,0.5833333333333334,21.55812512424143,0.8784546256065369,602,301,
مع من تتعاون الجامعة في الأبحاث؟,lspm,0.7,0.5185185185185186,38.611500907891156,0.879037618637085,602,405,53.19033400155604
مع من تتعاون الجامعة في الأبحاث؟,naive,0.7,0.8275862068965518,67.74546186626391,0.9389119744300842,602,409,
كيف يكون الطقس في الرياض خلال الصيف؟,lspm,0.3,0.5,18.92240568795936,0.8168050646781921,588,184,56.17099999653874
كيف يكون الطقس في الرياض خلال الصيف؟,naive,0.3,0.7058823529411765,29.53872020786076,0.8613688945770264,588,185,
كيف يكون الطقس في الرياض خلال الصيف؟,lspm,0.5,0.7058823529411765,29.53872020786076,0.8613688945770264,588,281,
كيف يكون الطقس في الرياض خلال الصيف؟,naive,0.5,0.6666666666666666,29.377167835760567,0.8638317584991455,588,293,
كيف يكون الطقس في الرياض خلال الصيف؟,lspm,0.7,0.7058823529411765,29.53872020786076,0.8613688945770264,588,380,59.96216700441437
كيف يكون الطقس في الرياض خلال الصيف؟,naive,0.7,0.5,18.92240568795936,0.8168050646781921,588,386,
